trainer_type,run_name,diag_mean_AtA,offdiag_rms_AtA,diag_mean_Chat,offdiag_rms_Chat
loraxs,run_3,14.1296,1.4766,0.7270,0.3145
loraxs_regularized,run_5,1.0002,0.0007,0.9681,0.3113
loraxs,run_5,14.6359,1.7395,0.6599,0.1906
loraxs_regularized,run_6,1.0002,0.0008,0.9986,0.2916
loraxs,run_1,14.4133,1.4447,0.6159,0.1981
loraxs_regularized,run_3,1.0001,0.0007,0.9732,0.3022
loraxs_regularized,run_1,0.9999,0.0008,0.9643,0.3282
loraxs_regularized,run_4,1.0000,0.0008,0.9476,0.3027
loraxs_regularized,run_2,1.0004,0.0008,0.9448,0.2658
loraxs_init,run_2,1.0001,0.0000,66.6656,54.5666
loraxs_init,run_1,1.0001,0.0000,70.9054,57.1543
loraxs,run_2,14.4385,1.4482,0.8719,0.4037
loraxs,run_6,14.7688,1.4816,0.8540,0.3322
loraxs,run_4,14.4770,1.5261,0.9250,0.4621
loraxs_init,run_3,1.0001,0.0000,73.4456,60.1499
loraxs_init,run_4,1.0001,0.0000,66.9628,52.8252
loraxs_init,run_6,1.0001,0.0000,71.0504,57.9624
loraxs_init,run_5,1.0001,0.0000,78.4871,64.8568
